#Num,Team name,Stadium name,Seating capacity,Location,Playing surface,League,Date opened,Distance to center field (ft),Distance to center field (ft),Ballpark typology,Roof Type,Deleted,Num Dists,Num Souveinirs,,,,,,,,,,,,,,,,,,,,
20,Oakland Athletics,Oakland–Alameda County Coliseum ,47170,Oakland California,Grass,American,1966,400,122,Multipurpose,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
21,Philadelphia Phillies,Citizens Bank Park,43651,Philadelphia Pennsylvania,Grass,National,2004,401,122,Retro Classic,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
22,Pittsburgh Pirates,PNC Park,38362,Pittsburgh Pennsylvania,Grass,National,2001,399,122,Retro Classic,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
23,San Diego Padres,Petco Park,40209,San Diego California,Grass,National,2004,396,121,Retro Modern,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
24,San Francisco Giants,AT&T Park,41915,San Francisco California,Grass,National,2000,399,122,Retro Classic,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
25,Seattle Mariners,Safeco Field,47943,Seattle Washington,Grass,American,1999,401,122,Retro Modern,Retractable,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
26,St. Louis Cardinals,Busch Stadium,45529,St. Louis Missouri,Grass,National,2006,400,122,Retro Classic,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
27,Tampa Bay Rays,Tropicana Field,31042,St. Petersburg Florida,AstroTurf GameDay Grass,American,1990,404,123,Multipurpose,Fixed,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
28,Texas Rangers,Globe Life Park in Arlington,48114,Arlington Texas,Grass,American,1994,400,122,Retro Classic,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
29,Toronto Blue Jays,Rogers Centre,49282,Toronto Ontario,AstroTurf GameDay Grass 3D,American,1989,400,122,Multipurpose,Retractable,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
30,Washington Nationals,Nationals Park,41339,Washington D.C.,Grass,National,2008,402,123,Retro Modern,Open,0,0,5,1,Baseball Cap,22.99,0,2,Baseball Bat,89.39,0,3,Team pennant,17.99,0,4,Autographed baseball,25.99,0,5,Team Jersey,199.99,0
